iter	Passed	Remaining
471	707	791
472	707	788
473	708	786
474	709	783
475	710	781
476	713	782
477	717	783
478	718	781
479	719	779
480	719	776
481	720	774
482	721	771
483	721	769
484	722	767
485	723	765
486	724	762
487	725	761
488	726	759
489	727	757
490	728	755
491	729	753
492	733	754
493	734	752
494	735	750
495	738	750
496	739	748
497	741	747
498	742	745
499	743	743
500	747	744
501	748	742
502	750	741
503	752	740
504	754	739
505	755	737
506	756	735
507	758	734
508	759	733
509	761	731
510	762	730
511	764	728
512	768	729
513	769	727
514	770	725
515	771	723
516	772	722
517	775	721
518	777	720
519	778	718
520	780	717
521	781	715
522	782	713
523	783	711
524	783	709
525	784	707
526	785	704
527	785	702
528	786	700
529	786	697
530	787	695
531	788	693
532	788	691
533	789	689
534	790	687
535	792	685
536	794	684
537	795	682
538	795	680
539	796	678
540	796	676
541	797	673
542	798	671
543	799	669
544	800	668
545	801	666
546	802	664
547	803	662
548	804	660
549	804	658
550	805	656
551	807	654
552	808	653
553	809	652
554	810	650
555	811	647
556	812	645
557	813	644
558	814	642
559	814	640
560	815	638
561	815	635
562	816	633
563	817	631
564	818	630
565	818	627
566	819	625
567	820	623
568	821	621
569	823	621
570	824	619
571	824	617
572	825	614
573	826	613
574	826	611
575	827	609
576	828	607
577	828	605
578	829	603
579	830	601
580	830	599
581	831	597
582	832	595
583	833	593
584	837	594
585	839	592
586	839	590
587	840	589
588	841	587
589	842	585
590	842	583
591	843	581
592	845	580
593	846	578
594	846	576
595	847	574
596	848	572
597	849	570
598	849	568
599	854	569
600	855	568
601	856	566
602	857	564
603	857	562
604	858	560
605	859	558
606	861	557
607	862	555
608	862	553
609	863	552
610	864	550
611	865	548
612	867	547
613	868	545
614	869	544
615	870	542
616	871	540
617	872	539
618	872	537
619	873	535
620	874	533
621	874	531
622	875	529
623	875	527
624	876	525
625	876	523
626	877	522
627	878	520
628	879	518
629	879	516
630	883	516
631	884	514
632	884	513
633	885	511
634	886	509
635	886	507
636	887	505
637	888	503
638	888	502
639	889	500
640	890	498
641	890	496
642	891	494
643	892	493
644	892	491
645	893	489
646	893	487
647	894	485
648	895	484
649	897	483
650	898	481
651	899	480
652	900	478
653	900	476
654	901	474
655	902	473
656	902	471
657	903	469
658	904	467
659	904	466
660	905	464
661	906	462
662	906	460
663	907	459
664	908	457
665	909	455
666	909	454
667	911	453
668	913	451
669	913	450
670	914	448
671	915	446
672	917	445
673	918	444
674	918	442
675	919	440
676	920	438
677	920	437
678	921	435
679	922	433
680	922	432
681	923	430
682	924	429
683	927	428
684	928	426
685	928	425
686	929	423
687	930	421
688	930	420
689	931	418
690	932	416
691	933	415
692	933	413
693	934	412
694	935	410
695	936	408
696	936	407
697	937	405
698	937	403
699	938	402
700	938	400
701	939	398
702	942	398
703	943	396
704	944	395
705	945	393
706	946	392
707	946	390
708	947	388
709	947	387
710	948	385
711	948	383
712	949	382
713	950	380
714	950	378
715	951	377
716	952	375
717	953	374
718	954	373
719	956	371
720	958	370
721	958	369
722	959	367
723	960	366
724	960	364
725	961	362
726	962	361
727	962	359
728	963	358
729	963	356
730	964	354
731	965	353
732	965	351
733	966	350
734	966	348
735	967	347
736	968	345
737	968	343
738	969	342
739	972	341
740	973	340
741	974	338
742	974	337
743	975	335
744	975	334
745	976	332
746	977	331
747	978	329
748	979	328
749	980	326
750	980	325
751	981	323
752	981	322
753	982	320
754	983	319
755	983	317
756	984	315
757	986	314
758	987	313
759	988	312
760	989	310
761	990	309
762	990	307
763	991	306
764	991	304
765	992	303
766	993	301
767	993	300
768	994	298
769	995	297
770	995	295
771	996	294
772	997	292
773	997	291
774	998	289
775	999	288
776	1002	287
777	1003	286
778	1003	284
779	1004	283
780	1005	281
781	1006	280
782	1006	279
783	1007	277
784	1008	276
785	1008	274
786	1009	273
787	1010	271
788	1010	270
789	1011	268
790	1011	267
791	1012	265
792	1014	264
793	1017	263
794	1018	262
795	1018	261
796	1019	259
797	1020	258
798	1021	257
799	1022	255
800	1023	254
801	1023	252
802	1024	251
803	1025	249
804	1026	248
805	1027	247
806	1027	245
807	1029	244
808	1031	243
809	1032	242
810	1033	240
811	1033	239
812	1034	237
813	1035	236
814	1036	235
815	1037	233
816	1038	232
817	1039	231
818	1040	229
819	1040	228
820	1041	227
821	1042	225
822	1044	224
823	1045	223
824	1046	221
825	1047	220
826	1048	219
827	1049	218
828	1050	216
829	1050	215
830	1051	213
831	1051	212
832	1052	210
833	1053	209
834	1053	208
835	1054	206
836	1055	205
837	1056	204
838	1058	203
839	1060	201
840	1060	200
841	1061	199
842	1062	197
843	1062	196
844	1063	195
845	1063	193
846	1064	192
847	1065	190
848	1066	189
849	1066	188
850	1067	186
851	1068	185
852	1068	184
853	1069	182
854	1070	181
855	1070	180
856	1071	178
857	1072	177
858	1075	176
859	1076	175
860	1077	173
861	1078	172
862	1078	171
863	1079	169
864	1079	168
865	1080	167
866	1080	165
867	1081	164
868	1082	163
869	1083	161
870	1083	160
871	1084	159
872	1085	157
873	1085	156
874	1086	155
875	1088	154
876	1090	152
877	1090	151
878	1091	150
879	1092	148
880	1093	147
881	1094	146
882	1094	145
883	1095	143
884	1096	142
885	1096	141
886	1097	139
887	1097	138
888	1098	137
889	1099	135
890	1100	134
891	1100	133
892	1101	131
893	1104	130
894	1105	129
895	1106	128
896	1106	127
897	1107	125
898	1108	124
899	1109	123
900	1110	121
901	1111	120
902	1112	119
903	1112	118
904	1113	116
905	1113	115
906	1114	114
907	1115	112
908	1115	111
909	1117	110
910	1120	109
911	1121	108
912	1122	106
913	1122	105
914	1123	104
915	1123	103
916	1124	101
917	1125	100
918	1126	99
919	1126	97
920	1127	96
921	1127	95
922	1128	94
923	1129	92
924	1130	91
925	1130	90
926	1131	89
927	1134	87
928	1135	86
929	1135	85
930	1136	84
931	1137	83
932	1139	81
933	1140	80
934	1141	79
935	1142	78
936	1143	76
937	1144	75
938	1144	74
939	1145	73
940	1148	72
941	1150	70
942	1150	69
943	1151	68
944	1152	67
945	1152	65
946	1153	64
947	1153	63
948	1154	62
949	1155	60
950	1156	59
951	1156	58
952	1157	57
953	1158	55
954	1158	54
955	1159	53
956	1159	52
957	1160	50
958	1162	49
959	1165	48
960	1166	47
961	1167	46
962	1167	44
963	1168	43
964	1168	42
965	1169	41
966	1169	39
967	1170	38
968	1170	37
969	1171	36
970	1172	35
971	1172	33
972	1173	32
973	1174	31
974	1174	30
975	1175	28
976	1176	27
977	1178	26
978	1180	25
979	1180	24
980	1181	22
981	1182	21
982	1183	20
983	1184	19
984	1184	18
985	1185	16
986	1186	15
987	1186	14
988	1187	13
989	1188	12
990	1189	10
991	1190	9
992	1191	8
993	1194	7
994	1195	6
995	1195	4
996	1196	3
997	1197	2
998	1197	1
999	1199	0
